epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
85,5657.5,1.35198,1.06297,1.35733,0.87207,0.74168,0.8325,0.45595,1.59345,0.96932,1.53937,0.0003368,0.0003368,0.0003368
86,5723.57,1.35401,1.04293,1.35557,0.89478,0.7424,0.83308,0.45786,1.59475,0.97444,1.54499,0.000317,0.000317,0.000317
87,5790.06,1.35067,1.04182,1.34496,0.87285,0.7504,0.82958,0.45782,1.60097,0.98184,1.55231,0.0002972,0.0002972,0.0002972
88,5856.71,1.34971,1.04567,1.35476,0.88179,0.7488,0.83381,0.45873,1.59793,0.96758,1.55634,0.0002774,0.0002774,0.0002774
89,5923.2,1.32394,1.00535,1.33667,0.87993,0.7376,0.82991,0.45512,1.58509,0.95815,1.541,0.0002576,0.0002576,0.0002576
90,5989.7,1.32613,1.03053,1.34741,0.86434,0.7376,0.82318,0.45635,1.58981,0.9669,1.54568,0.0002378,0.0002378,0.0002378
91,6086.46,1.27433,0.82155,1.31302,0.84281,0.7456,0.82291,0.45406,1.5814,0.97599,1.53511,0.000218,0.000218,0.000218
92,6151.54,1.26593,0.78325,1.2923,0.86502,0.7456,0.8326,0.45751,1.57819,0.95865,1.53274,0.0001982,0.0001982,0.0001982
93,6217.7,1.2394,0.77862,1.29135,0.87887,0.74299,0.83525,0.458,1.59165,0.95783,1.541,0.0001784,0.0001784,0.0001784
94,6283.04,1.22444,0.75384,1.26695,0.88187,0.7525,0.83512,0.46106,1.59545,0.94871,1.54262,0.0001586,0.0001586,0.0001586
95,6348.3,1.22264,0.7399,1.27506,0.87681,0.7552,0.8393,0.46165,1.59829,0.94203,1.55008,0.0001388,0.0001388,0.0001388
96,6413.53,1.22647,0.75357,1.27699,0.87173,0.7584,0.83689,0.46378,1.59086,0.93027,1.54381,0.000119,0.000119,0.000119
97,6479.86,1.21842,0.74093,1.27489,0.87439,0.75738,0.83963,0.46171,1.58873,0.93068,1.54043,9.92e-05,9.92e-05,9.92e-05
98,6545.62,1.19841,0.74121,1.25993,0.85862,0.7568,0.83431,0.46235,1.59126,0.93589,1.54091,7.94e-05,7.94e-05,7.94e-05
99,6611.8,1.20842,0.73616,1.25401,0.86995,0.7552,0.83607,0.45977,1.59425,0.93254,1.54374,5.96e-05,5.96e-05,5.96e-05
100,6677.43,1.19614,0.71881,1.25035,0.87131,0.75829,0.8366,0.46309,1.59658,0.93581,1.54497,3.98e-05,3.98e-05,3.98e-05
