epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
118,14024.3,1.21378,0.87393,1.26078,0.94864,0.88896,0.94609,0.63967,1.19587,0.58647,1.23158,0.006139,0.006139,0.006139
119,14141,1.20407,0.86796,1.25941,0.94857,0.88896,0.94609,0.63978,1.19566,0.5853,1.23182,0.006106,0.006106,0.006106
120,14256.9,1.20046,0.87161,1.25005,0.95191,0.89021,0.9472,0.63992,1.19562,0.58428,1.23205,0.006073,0.006073,0.006073
121,14374.7,1.19808,0.86984,1.25985,0.95135,0.89061,0.94771,0.64057,1.1953,0.58348,1.23196,0.00604,0.00604,0.00604
122,14491.4,1.19729,0.86092,1.25691,0.95242,0.89021,0.9474,0.64091,1.1948,0.58282,1.23173,0.006007,0.006007,0.006007
123,14608,1.19046,0.85355,1.24863,0.95439,0.88896,0.94749,0.64127,1.19416,0.58214,1.23141,0.005974,0.005974,0.005974
124,14724.6,1.1912,0.85695,1.24037,0.94999,0.89021,0.9471,0.64118,1.19357,0.58123,1.23094,0.005941,0.005941,0.005941
125,14840.1,1.19958,0.84994,1.24734,0.95016,0.89196,0.94766,0.6418,1.19318,0.5798,1.23025,0.005908,0.005908,0.005908
126,14956.9,1.19446,0.85361,1.24502,0.95078,0.89168,0.94831,0.64178,1.19197,0.57908,1.22872,0.005875,0.005875,0.005875
127,15074.5,1.1904,0.84277,1.24485,0.94766,0.89231,0.94706,0.64246,1.19191,0.57774,1.22828,0.005842,0.005842,0.005842
128,15190.8,1.17974,0.84699,1.23458,0.94892,0.89457,0.94854,0.64245,1.19226,0.5774,1.22845,0.005809,0.005809,0.005809
129,15307.5,1.18748,0.83437,1.23443,0.94776,0.8942,0.94759,0.64231,1.19237,0.57664,1.22815,0.005776,0.005776,0.005776
130,15424.4,1.1827,0.84001,1.23167,0.94587,0.89457,0.9478,0.6433,1.19178,0.57672,1.22763,0.005743,0.005743,0.005743
131,15541,1.18383,0.83456,1.23804,0.94807,0.8952,0.94826,0.64355,1.1923,0.57553,1.22858,0.00571,0.00571,0.00571
132,15657.8,1.17125,0.83732,1.2335,0.94773,0.8952,0.9486,0.64355,1.19136,0.5749,1.22813,0.005677,0.005677,0.005677
